timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756203180,"2025-08-26T10:13:00Z","l2sm","managed","l2sm-managed-1",0.053307456526619806,959888384
1756203180,"2025-08-26T10:13:00Z","l2sm","managed","l2sm-managed-2",0.05630526447278464,902844416
1756203180,"2025-08-26T10:13:00Z","submariner","control","sub-control",0.0028332191856484377,60420096
1756203180,"2025-08-26T10:13:00Z","submariner","managed","sub-managed-1",0.060092268943875544,379783168
1756203180,"2025-08-26T10:13:00Z","submariner","managed","sub-managed-2",0.051833082582857445,380088320
1756203612,"2025-08-26T10:20:12Z","l2sm","control","l2sm-control",0.024370546028291213,850083840.0000001
1756203612,"2025-08-26T10:20:12Z","submariner","control","sub-control",0.0024486938629451594,60505088
1756204044,"2025-08-26T10:27:24Z","l2sm","control","l2sm-control",0.02180030849967768,849789952
1756204044,"2025-08-26T10:27:24Z","l2sm","managed","l2sm-managed-1",0.05350857015677886,959533056
1756204044,"2025-08-26T10:27:24Z","l2sm","managed","l2sm-managed-2",0.05470937207701755,906079232
1756204044,"2025-08-26T10:27:24Z","submariner","control","sub-control",0.0026369963532873264,60321792
1756204044,"2025-08-26T10:27:24Z","submariner","managed","sub-managed-1",0.05881151532148074,379972608
1756204044,"2025-08-26T10:27:24Z","submariner","managed","sub-managed-2",0.051579462934633696,380563456
1756204476,"2025-08-26T10:34:36Z","l2sm","control","l2sm-control",0.022306028994503995,845281280
1756204476,"2025-08-26T10:34:36Z","submariner","control","sub-control",0.0024658653846147296,60400981.33333333
1756204908,"2025-08-26T10:41:48Z","l2sm","control","l2sm-control",0.02246510943456315,846822400
1756204908,"2025-08-26T10:41:48Z","l2sm","managed","l2sm-managed-1",0.0545453579704159,959976448
1756204908,"2025-08-26T10:41:48Z","l2sm","managed","l2sm-managed-2",0.0551871406421483,902448537.6
1756204908,"2025-08-26T10:41:48Z","submariner","control","sub-control",0.0022028062059488225,60417024
1756204908,"2025-08-26T10:41:48Z","submariner","managed","sub-managed-1",0.06119488030579609,380068864
1756204908,"2025-08-26T10:41:48Z","submariner","managed","sub-managed-2",0.05096633252720754,380450816
1756205340,"2025-08-26T10:49:00Z","l2sm","control","l2sm-control",0.022423060383968414,850070528
1756205340,"2025-08-26T10:49:00Z","submariner","control","sub-control",0.002529118400471053,60416000
1756205772,"2025-08-26T10:56:12Z","l2sm","control","l2sm-control",0.02099495319015545,849912832
